,0-500,500-1000,1000-1500,1500-2000,2000-2500,2500-3000,3000-3500,3500-4000,4000-4500
1,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
7,0,30,362,889,203,27,0,0,0
8,0,18,165,661,112,11,0,0,0
11,0,0,0,0,0,0,0,0,0
14,0,145,716,976,311,33,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
